LASTUPDATEDATE,BUILDINGNAMEID,BUILDINGID
2023/09/03 00:00:00,"1101366849","1100011133"
2023/09/03 00:00:00,"1101366285","1100010241"
2023/09/03 00:00:00,"1101366760","1100010889"
2023/09/03 00:00:00,"1101368244","1100010492"
2023/09/03 00:00:00,"1101366690","1100001418"
2023/09/03 00:00:00,"1101365924","1100010302"
2023/09/03 00:00:00,"1101366328","1100010245"
2023/09/03 00:00:00,"1101366596","1100010075"
2023/09/03 00:00:00,"1101368189","1100012526"
2023/09/03 00:00:00,"1101367969","1100008548"
2023/09/03 00:00:00,"1101366831","1100004867"
2023/09/03 00:00:00,"1101367991","1100010463"
2023/09/03 00:00:00,"1101366615","1100010861"
2023/09/03 00:00:00,"1101366778","1100005066"
2023/09/03 00:00:00,"1101366595","1100004805"
2023/09/03 00:00:00,"1101366125","1100010241"
2023/09/03 00:00:00,"1101368099","1100010917"
2023/09/03 00:00:00,"1101366624","1100011678"
2023/09/03 00:00:00,"1101368187","1100010737"
2023/09/03 00:00:00,"1101366857","1100004867"
2023/09/03 00:00:00,"1101367992","1100007040"
2023/09/03 00:00:00,"1101367944","1100005983"
2023/09/03 00:00:00,"1101368142","1100007505"
2023/09/03 00:00:00,"1101366424","1100010239"
2023/09/03 00:00:00,"1101367990","1100007957"
2023/09/03 00:00:00,"1101366351","1100010239"
2023/09/03 00:00:00,"1101368128","1100010362"
2023/09/03 00:00:00,"1101366361","1100007479"
2023/09/03 00:00:00,"1101366171","1100010275"
2023/09/03 00:00:00,"1101366108","1100010214"
2023/09/03 00:00:00,"1101366821","1100012495"
2023/09/03 00:00:00,"1101368291","1100007693"
2023/09/03 00:00:00,"1101368029","1100014295"
2023/09/03 00:00:00,"1101366862","1100001225"
2023/09/03 00:00:00,"1101368182","1100011070"
2023/09/03 00:00:00,"1101368274","1100010847"
2023/09/03 00:00:00,"1101367981","1100009661"
2023/09/03 00:00:00,"1101368250","1100012582"
2023/09/03 00:00:00,"1101366063","1100004380"
2023/09/03 00:00:00,"1101368170","1100012582"
2023/09/03 00:00:00,"1101368505","1100004907"
2023/09/03 00:00:00,"1101368081","1100007678"
2023/09/03 00:00:00,"1101368140","1100007781"
2023/09/03 00:00:00,"1101368529","1100011444"
2023/09/03 00:00:00,"1101368530","1100005178"
2023/09/03 00:00:00,"1101367599","1100009368"
2023/09/03 00:00:00,"1101367957","1100007348"
2023/09/03 00:00:00,"1101366763","1100012315"
2023/09/03 00:00:00,"1101366783","1100001324"
2023/09/03 00:00:00,"1101368468","1100003203"
2023/09/03 00:00:00,"1101368171","1100009180"
2023/09/03 00:00:00,"1101368506","1100012324"
2023/09/03 00:00:00,"1101366714","1100006245"
2023/09/03 00:00:00,"1101367562","1100011926"
2023/09/03 00:00:00,"1101367513","1100006606"
2023/09/03 00:00:00,"1101368345","1100003613"
2023/09/03 00:00:00,"1101368212","1100007854"
2023/09/03 00:00:00,"1101368273","1100012277"
2023/09/03 00:00:00,"1101367587","1100013859"
2023/09/03 00:00:00,"1101367626","1100006638"
2023/09/03 00:00:00,"1101367543","1100009054"
2023/09/03 00:00:00,"1101368378","1100010412"
2023/09/03 00:00:00,"1101368504","1100013184"
2023/09/03 00:00:00,"1101368213","1100010913"
2023/09/03 00:00:00,"1101366974","1100010408"
2023/09/03 00:00:00,"1101366647","1100004639"
2023/09/03 00:00:00,"1101366861","1100013017"
2023/09/03 00:00:00,"1101368308","1100006383"
2023/09/03 00:00:00,"1101368221","1100010501"
2023/09/03 00:00:00,"1101366715","1100003685"
2023/09/03 00:00:00,"1101368328","1100011962"
2023/09/03 00:00:00,"1101368379","1100005109"
2023/09/03 00:00:00,"1101368380","1100003821"
2023/09/03 00:00:00,"1101368176","1100009260"
2023/09/03 00:00:00,"1101368290","1100007834"
2023/09/03 00:00:00,"1101368241","1100012541"
2023/09/03 00:00:00,"1101367647","1100006661"
2023/09/03 00:00:00,"1101368296","1100005543"
2023/09/03 00:00:00,"1101368228","1100011277"
2023/09/03 00:00:00,"1101367646","1100007174"
2023/09/03 00:00:00,"1101367544","1100006682"
2023/09/03 00:00:00,"1101368214","1100012094"
2023/09/03 00:00:00,"1101368192","1100010677"
2023/09/03 00:00:00,"1101368473","1100006114"
2023/09/03 00:00:00,"1101368432","1100009451"
2023/09/03 00:00:00,"1101367571","1100005635"
2023/09/03 00:00:00,"1101368148","1100004882"
2023/09/03 00:00:00,"1101367563","1100007709"
2023/09/03 00:00:00,"1101368234","1100005350"
2023/09/03 00:00:00,"1101368439","1100001219"
2023/09/03 00:00:00,"1101366549","1100011049"
2023/09/03 00:00:00,"1101366955","1100005228"
2023/09/03 00:00:00,"1101368151","1100006489"
2023/09/03 00:00:00,"1101368150","1100012119"
2023/09/03 00:00:00,"1101368388","1100006214"
2023/09/03 00:00:00,"1101368306","1100659949"
2023/09/03 00:00:00,"1101366907","1100009108"
2023/09/03 00:00:00,"1101368139","1100011666"
2023/09/03 00:00:00,"1101367569","1100009447"
2023/09/03 00:00:00,"1101365934","1100006252"
2023/09/03 00:00:00,"1101368389","1100004636"
2023/09/03 00:00:00,"1101368346","1100012218"
2023/09/03 00:00:00,"1101366688","1100014363"
